                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82568,                 3.3289,                 1.3989,                0.03623,                      1,                 0.0904,                0.04502,                0.75848,                 2.8103,                  1.253,                0.00022,                0.00022,                0.00022
                      2,                0.88348,                 2.8627,                  1.285,                0.05594,                0.79167,                0.10909,                0.05192,                0.77028,                 2.7543,                 1.2491,             0.00045089,             0.00045089,             0.00045089
                      3,                0.89208,                 2.1951,                 1.1943,                0.83511,                0.73611,                0.89888,                0.69181,                0.68774,                 1.6179,                 1.1343,             0.00067228,             0.00067228,             0.00067228
                      4,                0.92086,                 1.2853,                 1.2998,                0.99928,                      1,                  0.995,                 0.7873,                 0.8529,                0.70029,                 1.3458,             0.00088416,             0.00088416,             0.00088416
                      5,                0.91006,                 1.1914,                 1.3177,                      1,                      1,                  0.995,                0.78517,                0.83859,                 1.7355,                 1.1941,              0.0010865,              0.0010865,              0.0010865
                      6,                0.91381,                 1.1706,                 1.2533,                      1,                      1,                  0.995,                0.78517,                0.83859,                 1.7355,                 1.1941,              0.0012794,              0.0012794,              0.0012794
                      7,                 0.8214,                0.98771,                 1.3429,                 0.9653,                0.96581,                0.99149,                0.81894,                0.59309,                  1.065,                 1.3374,              0.0014628,              0.0014628,              0.0014628
                      8,                0.77324,                0.76596,                 1.4065,                 0.9653,                0.96581,                0.99149,                0.81894,                0.59309,                  1.065,                 1.3374,              0.0016367,              0.0016367,              0.0016367
                      9,                0.76258,                0.76834,                 1.3079,                 0.9653,                0.96581,                0.99149,                0.81894,                0.59309,                  1.065,                 1.3374,              0.0016832,              0.0016832,              0.0016832
                     10,                0.80168,                0.73602,                 1.4925,                0.99919,                      1,                  0.995,                0.87621,                 0.5809,                0.95516,                  1.371,              0.0016436,              0.0016436,              0.0016436
                     11,                0.87496,                0.77912,                 1.6271,                0.99919,                      1,                  0.995,                0.87621,                 0.5809,                0.95516,                  1.371,               0.001604,               0.001604,               0.001604
                     12,                0.84233,                0.75094,                 1.5272,                0.99952,                      1,                  0.995,                0.86747,                0.61527,                0.63951,                 1.3627,              0.0015644,              0.0015644,              0.0015644
                     13,                  0.873,                0.84473,                 1.3896,                0.99952,                      1,                  0.995,                0.86747,                0.61527,                0.63951,                 1.3627,              0.0015248,              0.0015248,              0.0015248
                     14,                0.85195,                0.82955,                 1.4126,                0.99952,                      1,                  0.995,                0.86747,                0.61527,                0.63951,                 1.3627,              0.0014852,              0.0014852,              0.0014852
                     15,                0.83674,                0.74647,                 1.4875,                0.99947,                      1,                  0.995,                0.85175,                0.61925,                0.59357,                 1.4406,              0.0014456,              0.0014456,              0.0014456
                     16,                0.74076,                0.57312,                 1.4077,                0.99947,                      1,                  0.995,                0.85175,                0.61925,                0.59357,                 1.4406,               0.001406,               0.001406,               0.001406
                     17,                0.78954,                0.63496,                  1.589,                0.99947,                      1,                  0.995,                0.85175,                0.61925,                0.59357,                 1.4406,              0.0013664,              0.0013664,              0.0013664
                     18,                0.79834,                0.62683,                 1.4496,                0.99957,                      1,                  0.995,                0.86509,                0.57923,                0.54554,                 1.3776,              0.0013268,              0.0013268,              0.0013268
                     19,                0.84777,                0.70252,                 1.5617,                0.99957,                      1,                  0.995,                0.86509,                0.57923,                0.54554,                 1.3776,              0.0012872,              0.0012872,              0.0012872
                     20,                0.77466,                0.61245,                 1.3936,                0.99928,                      1,                  0.995,                0.86545,                  0.576,                0.50298,                  1.354,              0.0012476,              0.0012476,              0.0012476
                     21,                0.75944,                0.61057,                 1.4236,                0.99928,                      1,                  0.995,                0.86545,                  0.576,                0.50298,                  1.354,               0.001208,               0.001208,               0.001208
                     22,                0.78748,                0.63708,                 1.4813,                0.99928,                      1,                  0.995,                0.86545,                  0.576,                0.50298,                  1.354,              0.0011684,              0.0011684,              0.0011684
                     23,                0.74376,                0.60934,                 1.3398,                0.99958,                      1,                  0.995,                 0.8685,                0.58516,                0.44987,                 1.3544,              0.0011288,              0.0011288,              0.0011288
                     24,                0.71924,                0.51986,                 1.3344,                0.99958,                      1,                  0.995,                 0.8685,                0.58516,                0.44987,                 1.3544,              0.0010892,              0.0010892,              0.0010892
                     25,                0.75899,                0.56572,                 1.4956,                0.99958,                      1,                  0.995,                 0.8685,                0.58516,                0.44987,                 1.3544,              0.0010496,              0.0010496,              0.0010496
                     26,                0.75891,                0.56545,                 1.3656,                 0.9996,                      1,                  0.995,                0.86168,                 0.5954,                0.44637,                 1.3255,                0.00101,                0.00101,                0.00101
                     27,                0.72511,                0.55577,                 1.3877,                 0.9996,                      1,                  0.995,                0.86168,                 0.5954,                0.44637,                 1.3255,              0.0009704,              0.0009704,              0.0009704
                     28,                0.68804,                0.51358,                 1.3441,                0.99957,                      1,                  0.995,                0.87574,                0.54757,                0.42083,                 1.3215,              0.0009308,              0.0009308,              0.0009308
                     29,                0.73471,                0.55421,                 1.4287,                0.99957,                      1,                  0.995,                0.87574,                0.54757,                0.42083,                 1.3215,              0.0008912,              0.0008912,              0.0008912
                     30,                0.70688,                0.51319,                 1.4866,                0.99957,                      1,                  0.995,                0.87574,                0.54757,                0.42083,                 1.3215,              0.0008516,              0.0008516,              0.0008516
                     31,                0.70288,                0.54319,                 1.6068,                0.99955,                      1,                  0.995,                0.87864,                  0.532,                0.41443,                 1.3309,               0.000812,               0.000812,               0.000812
                     32,                0.73393,                0.56204,                 1.6139,                0.99955,                      1,                  0.995,                0.87864,                  0.532,                0.41443,                 1.3309,              0.0007724,              0.0007724,              0.0007724
                     33,                0.67419,                0.49619,                 1.4174,                0.99955,                      1,                  0.995,                0.87864,                  0.532,                0.41443,                 1.3309,              0.0007328,              0.0007328,              0.0007328
                     34,                0.75505,                0.56387,                 1.4792,                0.99956,                      1,                  0.995,                0.88764,                0.51211,                0.41887,                 1.3234,              0.0006932,              0.0006932,              0.0006932
                     35,                0.69427,                0.51875,                 1.4281,                0.99956,                      1,                  0.995,                0.88764,                0.51211,                0.41887,                 1.3234,              0.0006536,              0.0006536,              0.0006536
                     36,                0.64139,                0.50066,                 1.3075,                0.99956,                      1,                  0.995,                0.88969,                0.50432,                0.41493,                 1.3047,               0.000614,               0.000614,               0.000614
                     37,                0.67851,                0.49743,                 1.4489,                0.99956,                      1,                  0.995,                0.88969,                0.50432,                0.41493,                 1.3047,              0.0005744,              0.0005744,              0.0005744
                     38,                0.63617,                0.47703,                  1.376,                0.99956,                      1,                  0.995,                0.88969,                0.50432,                0.41493,                 1.3047,              0.0005348,              0.0005348,              0.0005348
                     39,                0.72383,                0.51656,                 1.4506,                0.99959,                      1,                  0.995,                0.89591,                0.48652,                0.39097,                 1.2762,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7376,                0.52444,                 1.4899,                0.99959,                      1,                  0.995,                0.89591,                0.48652,                0.39097,                 1.2762,              0.0004556,              0.0004556,              0.0004556
                     41,                0.55694,                0.42172,                 1.3401,                0.99959,                      1,                  0.995,                0.89591,                0.48652,                0.39097,                 1.2762,               0.000416,               0.000416,               0.000416
                     42,                0.55974,                0.41961,                 1.3994,                0.99962,                      1,                  0.995,                0.89507,                0.48059,                0.36558,                  1.281,              0.0003764,              0.0003764,              0.0003764
                     43,                0.53591,                0.42361,                 1.3901,                0.99962,                      1,                  0.995,                0.89507,                0.48059,                0.36558,                  1.281,              0.0003368,              0.0003368,              0.0003368
                     44,                0.52783,                 0.4083,                  1.342,                0.99961,                      1,                  0.995,                 0.9003,                0.46701,                0.35012,                 1.2751,              0.0002972,              0.0002972,              0.0002972
                     45,                0.56259,                0.42515,                 1.3185,                0.99961,                      1,                  0.995,                 0.9003,                0.46701,                0.35012,                 1.2751,              0.0002576,              0.0002576,              0.0002576
                     46,                0.54793,                0.42568,                 1.2824,                0.99961,                      1,                  0.995,                 0.9003,                0.46701,                0.35012,                 1.2751,               0.000218,               0.000218,               0.000218
                     47,                0.51667,                0.39251,                 1.2588,                0.99961,                      1,                  0.995,                0.89923,                0.45842,                0.34252,                 1.2746,              0.0001784,              0.0001784,              0.0001784
                     48,                0.51364,                0.39437,                 1.2844,                0.99961,                      1,                  0.995,                0.89923,                0.45842,                0.34252,                 1.2746,              0.0001388,              0.0001388,              0.0001388
                     49,                0.50827,                0.39161,                 1.2292,                0.99961,                      1,                  0.995,                0.89923,                0.45842,                0.34252,                 1.2746,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.51452,                0.39887,                 1.3346,                 0.9996,                      1,                  0.995,                0.89999,                0.45468,                0.33979,                 1.2763,               5.96e-05,               5.96e-05,               5.96e-05
